Intervención,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,Total
Suplementación de hierro durante el embarazo,"4,167","8,727","13,335","18,734","24,260","29,405","35,719","42,912","50,729","59,251","287,239"
Manejo de caso de trastorno hipertensivo,"69,892","144,144","222,636","303,866","392,909","467,325","564,218","663,388","778,324","894,147","4,500,849"
Manejo de pre-eclampsia con sulfato de magnesio,"144,376","298,743","470,653","645,888","834,461","999,524","1,209,805","1,434,363","1,701,726","1,965,494","9,705,033"
Retiro manual de placenta,500,"1,008","1,566","2,159","2,790","3,315","4,017","4,739","5,593","6,462","32,149"
Administración parenteral de anticonvulsivantes ,"1,281,714","2,625,754","4,165,715","5,781,910","7,636,517","9,184,514","11,310,907","13,514,076","16,146,762","18,779,771","90,427,640"
Administración parenteral de uterotónicos,"4,412","8,940","13,894","19,334","25,320","30,547","37,842","45,283","53,873","62,775","302,220"
Retiro de productos de la concepción retenidos,"33,540","67,473","103,802","145,259","187,597","225,859","273,041","323,044","382,886","441,129","2,183,630"
Parto por cesárea,"307,336","641,327","1,002,073","1,393,644","1,819,597","2,247,132","2,730,435","3,245,974","3,836,939","4,442,803","21,667,260"
Transfusión de sangre,"7,310","14,887","23,510","32,908","43,096","52,040","63,697","76,155","90,396","104,978","508,977"
Total,"1,853,246","3,811,002","6,017,184","8,343,701","10,966,548","13,239,661","16,229,680","19,349,934","23,047,227","26,756,810","129,614,993"
