year,total,urbano,rural,lima_metropolitana,selva,resto_del_pais,sin_educacion,primaria,secundaria,superior,quintil1,quintil2,quintil3,quintil4,quintil5,castellano,lengua_nativa
2000,.50422007,.56122482,.40315935,.58776057,.47947022,.46683991,.3303591,.43761155,.5667187,.5805679,,,,,,,
2004,.46728781,.5410769,.33236271,.55219775,.49432778,.433061,.23996097,.3769151,.51601982,.57208765,.26912272,.39445397,.52274394,.55756009,.54684412,,
2005,.47146183,.53555185,.36095569,.55503428,.49923965,.440451,.29372302,.39557379,.51978898,.54510599,.29768378,.40226281,.50962347,.55504358,.54542476,,
2006,.47576177,.53192008,.37906924,.55798131,.48442334,.44621083,.3100926,.41089454,.51720685,.5430789,.32337284,.40976629,.51264238,.55233109,.53805065,,
2007,.47839752,.53082132,.39067495,.55182105,.50176972,.45057005,.31163475,.41323888,.52580541,.53627175,.32890347,.40963617,.51647907,.54798895,.53236687,.51439935,.38245857
2008,.48670468,.52549005,.40700963,.54537636,.44012675,.47222871,.36192393,.42233869,.53063065,.52876711,.36720917,.41314098,.5129382,.5460186,.52870518,.51699835,.38861245
2009,.49962875,.53325641,.42270115,.57929194,.4934738,.46361896,.35635486,.44247326,.531075,.54260737,.40428045,.45762208,.52478242,.54827994,.55824834,.53543103,.37926385
2010,.50501591,.53635746,.43361121,.57478875,.47214705,.48026961,.40179938,.44461015,.52263778,.57044977,.41023582,.4706406,.53821975,.52915668,.57431531,.53575194,.39994401
2011,.5110184,.54205602,.44129878,.57861352,.48579922,.48654732,.41563591,.45200467,.54287767,.54423708,.42002717,.49815324,.52465421,.54392678,.56919771,.53959239,.41500941
2012,.51795191,.54844236,.44668263,.60028082,.48587823,.48776525,.3958903,.45803753,.54977357,.55553627,.40459231,.51949644,.53197515,.54741484,.58104408,.54836285,.40896085
2013,.51333809,.53305006,.46187219,.57291073,.49759385,.48768762,.37496731,.459705,.54393274,.53767443,.42481485,.51497102,.52427506,.55053926,.5561837,.53956282,.40685269
2014,.52178514,.54135215,.4675585,.56948757,.50232095,.50137627,.36856541,.45856792,.55609506,.54120219,.43705413,.5208419,.54485196,.54260468,.56423974,.55035192,.41137084
2015,.53254962,.55124772,.47596371,.58893049,.50934315,.50835085,.37140226,.47158909,.55395037,.56872672,.45652336,.51804328,.55073971,.55455613,.58876306,.55930769,.41942981
2016,.54311293,.56446481,.47876707,.60688442,.53594857,.50979471,.38010621,.46609238,.58148533,.56152624,.45313975,.55137938,.55542541,.58088619,.57446367,.56707603,.43138576
2017,.54526997,.56631303,.47803706,.59291977,.52793777,.51994967,.34924588,.47304761,.57422143,.56886142,.46213749,.55339026,.56918502,.58730155,.55740154,.56934929,.44317538
2018,.55005068,.56362969,.50282919,.57539761,.5387283,.53668183,.43658683,.50204515,.55951041,.57656962,.48983553,.55148047,.5593617,.58644253,.56816691,.57328969,.44213447
2019,.55551893,.57358503,.49163091,.60089958,.53813767,.52781218,.39350939,.4808383,.57362962,.58599162,.47628263,.55692637,.55734712,.58716333,.60944623,.57725185,.4557296
