tipo de causa,causa,año,porcentaje
Directas,Hemorragia obstétrica,2010,42.6%
Directas,Hemorragia obstétrica,2019,25.2%
Directas,Transtornos Hipertensivos,2010,22.7%
Directas,Transtornos Hipertensivos,2019,18.5%
Directas,Aborto y sus complicaciones,2010,9.8%
Directas,Aborto y sus complicaciones,2019,6.1%
Directas,Otras causas obstétricas directas,2010,2.1%
Directas,Otras causas obstétricas directas,2019,4.9%
Directas,Infección obstétrica/Sepsis,2010,1.3%
Directas,Infección obstétrica/Sepsis,2019,3.1%
Directas,Otras causas directas,2010,0.5%
Directas,Otras causas directas,2019,3.1%
Indirectas,Enfermedad cardiovascular/Sistema nervioso,2010,4.2%
Indirectas,Enfermedad cardiovascular/Sistema nervioso,2019,9.1%
Indirectas,Enfermedades infecciosas y parasitarias,2010,3.4%
Indirectas,Enfermedades infecciosas y parasitarias,2019,7.7%
Indirectas,Enfermedad neoplásica,2010,2.7%
Indirectas,Enfermedad neoplásica,2019,5.7%
Indirectas,Enfermedad del sistema digestivo,2010,2.5%
Indirectas,Enfermedad del sistema digestivo,2019,3.1%
Indirectas,Lesiones autoinflingidas/Envenamiento,2010,2.2%
Indirectas,Lesiones autoinflingidas/Envenamiento,2019,2.4%
Indirectas,Transtorno Cardiovascular y similares,2010,1.7%
Indirectas,Transtorno Cardiovascular y similares,2019,2.4%
Indirectas,Enfermedad del sistema respiratorio,2010,1.5%
Indirectas,Enfermedad del sistema respiratorio,2019,1.2%
Indirectas,Otras causas indirectas,2010,2.8%
Indirectas,Otras causas indirectas,2019,7.5%
