year,total,urbano,rural,lima_metropolitana,selva,resto_del_pais,sin_educacion,primaria,secundaria,superior
2000,.68876654,.73048788,.61480105,.73436451,.66663271,.67283696,.50172555,.63521588,.74610001,.75458878
2004,.70496285,.74755251,.62708658,.74644506,.70346713,.69510698,.51431751,.66616583,.73704427,.75401115
2005,.7069248,.74317473,.64442146,.72935647,.70688558,.70639008,.56390643,.66470695,.74655306,.73678041
2006,.71281993,.74199504,.66258675,.73911536,.70374513,.70992494,.57229692,.68104845,.74592054,.7374981
2007,.71827596,.74080455,.68057817,.73094004,.71145552,.72207236,.58967757,.69326752,.7460441,.73809248
2008,.72118419,.73169601,.69958484,.71328515,.72159934,.73465437,.63024414,.69882125,.7439056,.73220634
2009,.7319656,.74583471,.70023823,.76604939,.70455337,.72220945,.6051532,.71510482,.7435376,.75412977
2010,.7437017,.75232762,.72404945,.76735246,.70500547,.7412135,.65744233,.72861826,.74942285,.76635784
2011,.75380749,.75900888,.74212354,.76750469,.71786594,.75604087,.68798971,.73481894,.78156519,.73976105
2012,.7549451,.75781983,.74822551,.77057016,.72828251,.75437474,.65569353,.75086492,.76868665,.75038385
2013,.73985881,.7394017,.74105221,.75001431,.71290815,.74177319,.63435125,.72921026,.75421172,.74103552
2014,.74623328,.74562854,.74790937,.75376248,.71412843,.75037968,.60396522,.73707527,.76961625,.73199809
2015,.74593949,.74771672,.74056107,.75605404,.72864562,.74560517,.6343075,.73284829,.75690162,.7501893
2016,.76167178,.76400989,.75462574,.77313608,.7489481,.75914598,.66821939,.74632066,.79003996,.74040526
2017,.75408012,.75237513,.75952756,.75780737,.74770451,.75356948,.60313302,.75529432,.76905721,.74210495
2018,.76259619,.76072931,.76908821,.75885481,.7524631,.76810449,.726686,.76645857,.77925843,.7426095
2019,.75851595,.75789326,.76071811,.74996483,.76720262,.76212299,.66636109,.74677622,.76488012,.76269317
